tmp/ramdisk.py - bohrium: False, size: 28, elapsed-time: 6.511829
         7139308 function calls (6692348 primitive calls) in 6.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      295    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.008    0.008 _internal.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:7(<module>)
    50000    0.007    0.000    0.007    0.000 fromnumeric.py:2087(_sum_dispatcher)
       79    0.000    0.000    0.007    0.000 __init__.py:3284(<genexpr>)
    59272    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
       78    0.000    0.000    0.007    0.000 __init__.py:2783(activate)
        1    0.000    0.000    0.007    0.007 _dill.py:8(<module>)
      500    0.001    0.000    0.007    0.000 pickle.py:212(end_framing)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
      156    0.000    0.000    0.006    0.000 __init__.py:2028(_by_version)
        1    0.000    0.000    0.006    0.006 specifiers.py:4(<module>)
        1    0.000    0.000    0.006    0.006 pyparsing.py:6398(pyparsing_common)
    50000    0.006    0.000    0.006    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     4331    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      863    0.003    0.000    0.006    0.000 version.py:271(__init__)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
      156    0.000    0.000    0.006    0.000 __init__.py:2034(<listcomp>)
    36518    0.006    0.000    0.006    0.000 {method 'mro' of 'type' objects}
      587    0.000    0.000    0.006    0.000 version.py:48(parse)
     1947    0.006    0.000    0.006    0.000 {built-in method posix.stat}
    28102    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
      276    0.000    0.000    0.005    0.000 __init__.py:1327(safe_version)
        1    0.000    0.000    0.005    0.005 defchararray.py:1(<module>)
    12778    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
      157    0.000    0.000    0.005    0.000 __init__.py:2193(_handle_ns)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.005    0.005 specifiers.py:327(Specifier)
        1    0.000    0.000    0.005    0.005 platform.py:3(<module>)
    49999    0.005    0.000    0.005    0.000 codecs.py:214(setstate)
     1556    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
    40/29    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       78    0.000    0.000    0.005    0.000 __init__.py:2296(fixup_namespace_packages)
    40/29    0.001    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
     1500    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:269(_module_repr)
        1    0.000    0.000    0.005    0.005 linalg.py:1(<module>)
        2    0.000    0.000    0.005    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 financial.py:1(<module>)
       55    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
     1500    0.004    0.000    0.004    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
      241    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 utils.py:5(<module>)
     3500    0.003    0.000    0.004    0.000 pickle.py:322(_getattribute)
      156    0.000    0.000    0.004    0.000 __init__.py:2572(__init__)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _pslinux.py:5(<module>)
      616    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.003    0.003 decimal.py:2(<module>)
      378    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      400    0.003    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
    23793    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      295    0.003    0.000    0.003    0.000 {built-in method io.open_code}
13717/13707    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
    14375    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
      430    0.000    0.000    0.003    0.000 version.py:107(__init__)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
     1500    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:566(_module_repr_from_spec)
     4331    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      273    0.001    0.000    0.003    0.000 function_base.py:460(add_newdoc)
        1    0.000    0.000    0.003    0.003 _datasource.py:1(<module>)
      430    0.001    0.000    0.003    0.000 version.py:205(_legacy_cmpkey)
        4    0.000    0.000    0.003    0.001 pyparsing.py:1901(parseString)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      500    0.001    0.000    0.003    0.000 _dill.py:400(__init__)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
        1    0.000    0.000    0.003    0.003 version.py:4(<module>)
      395    0.001    0.000    0.003    0.000 functools.py:33(update_wrapper)
      392    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
       12    0.000    0.000    0.003    0.000 pyparsing.py:5120(__init__)
        1    0.000    0.000    0.003    0.003 _dtype_ctypes.py:1(<module>)
    35/10    0.000    0.000    0.003    0.000 pyparsing.py:4466(leaveWhitespace)
     6642    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
      452    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
       83    0.000    0.000    0.003    0.000 __init__.py:1433(get_metadata_lines)
     2588    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _pydecimal.py:16(<module>)
       83    0.000    0.000    0.002    0.000 __init__.py:1418(get_metadata)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        7    0.000    0.000    0.002    0.000 enum.py:434(_convert_)
      221    0.000    0.000    0.002    0.000 __init__.py:1408(_get_metadata_path)
        1    0.000    0.000    0.002    0.002 __init__.py:15(<module>)
      432    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      221    0.000    0.000    0.002    0.000 __init__.py:1488(_fn)
      452    0.001    0.000    0.002    0.000 copy.py:66(copy)
      138    0.000    0.000    0.002    0.000 __init__.py:1411(has_metadata)
      153    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       23    0.000    0.000    0.002    0.000 overrides.py:206(decorator)
      257    0.000    0.000    0.002    0.000 enum.py:278(__call__)
 1169/302    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
      489    0.000    0.000    0.002    0.000 __init__.py:2385(yield_lines)
      500    0.002    0.000    0.002    0.000 _dill.py:145(numpyufunc)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
    59/10    0.000    0.000    0.002    0.000 pyparsing.py:3897(leaveWhitespace)
   124/62    0.000    0.000    0.002    0.000 pyparsing.py:3968(copy)
        1    0.000    0.000    0.002    0.002 context.py:1(<module>)
        1    0.000    0.000    0.002    0.002 version.py:267(Version)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
      236    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      110    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
      461    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      343    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      515    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 benchpress.py:2(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:5(<module>)
       12    0.000    0.000    0.002    0.000 pyparsing.py:3140(__init__)
    22942    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      605    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    111/5    0.000    0.000    0.002    0.000 pyparsing.py:3928(streamline)
     52/4    0.000    0.000    0.002    0.000 pyparsing.py:4031(streamline)
        9    0.000    0.000    0.002    0.000 enum.py:381(_create_)
        1    0.000    0.000    0.002    0.002 __init__.py:17(<module>)
     9625    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.002    0.002 plistlib.py:1(<module>)
      126    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:476(_find_module_shim)
     1906    0.001    0.000    0.002    0.000 version.py:187(_parse_version_parts)
       13    0.001    0.000    0.002    0.000 enum.py:129(__new__)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1518(setParseAction)
    17063    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
      124    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
       29    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
      126    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1414(find_loader)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
   124/62    0.000    0.000    0.002    0.000 pyparsing.py:3970(<listcomp>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      221    0.000    0.000    0.002    0.000 __init__.py:1494(_validate_resource_path)
     1766    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7fc216629160}
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:4485(streamline)
        1    0.000    0.000    0.001    0.001 argument_handling.py:2(<module>)
